player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Ji Hwan Bae,40,313,12.8,12,10,8,3,3,0,0,0,2,16.7,2,16.7,4,18,.300,.320,.417,.433,.300,.468,.335,.398,1,88.9,85.9,3
Akil Baddoo,40,318,12.6,8,6,6,2,0,1,0,1,0,0.0,2,25.0,2,20,.333,.425,.500,.568,1.000,1.019,.585,.621,2,89.6,94.5,30
Jack López,39,274,14.2,7,6,2,0,0,0,0,0,4,57.1,0,0.0,7,15,.000,.063,.143,.197,.000,.132,.103,.173,0,90.4,93.6,0
Trey Cabbage,38,336,11.3,9,9,9,6,4,2,0,0,0,0.0,0,0.0,2,21,.667,.433,.667,.433,.889,.612,.671,.450,1,90.4,91.3,15
Tom Murphy,38,152,25.0,9,8,6,2,2,0,0,0,2,22.2,1,11.1,3,18,.250,.242,.333,.327,.250,.506,.273,.356,1,88.8,92.7,13
David Hensley,38,250,15.2,5,5,4,1,0,0,0,1,1,20.0,0,0.0,4,13,.200,.183,.200,.183,.800,.616,.410,.326,1,90.3,82.8,0
Rafael Marchán,38,195,19.5,13,12,10,3,0,1,0,2,2,15.4,1,7.7,3,19,.250,.358,.308,.408,.833,.753,.465,.484,2,90.2,90.5,22
Eguy Rosario,38,226,16.8,11,9,8,4,1,1,0,2,1,9.1,2,18.2,2,16,.444,.506,.545,.596,1.222,1.331,.692,.747,4,88.8,95.8,9
Chadwick Tromp,38,182,20.9,7,7,6,2,2,0,0,0,1,14.3,0,0.0,1,12,.286,.315,.286,.315,.286,.416,.252,.317,0,89.4,84.5,15
Buddy Kennedy,38,132,28.8,7,6,6,1,0,0,0,1,0,0.0,1,14.3,2,14,.167,.460,.286,.537,.667,.908,.391,.588,1,89.6,87.8,9
Avisaíl García,37,186,19.9,11,10,7,2,2,0,0,0,3,27.3,1,9.1,8,20,.200,.166,.273,.242,.200,.227,.223,.218,0,88.8,85.3,-1
David Dahl,37,266,13.9,10,9,8,2,2,0,0,0,1,10.0,1,10.0,6,24,.222,.264,.300,.338,.222,.366,.245,.310,0,89.6,88.2,9
Billy Cook,36,184,19.6,5,5,2,1,1,0,0,0,3,60.0,0,0.0,11,20,.200,.291,.200,.291,.200,.358,.176,.284,0,89.3,104.2,8
Tyler Locklear,35,196,17.9,6,6,5,0,0,0,0,0,1,16.7,0,0.0,6,20,.000,.107,.000,.107,.000,.121,.000,.101,0,90.2,83.1,18
Mason McCoy,34,232,14.7,4,4,4,2,2,0,0,0,0,0.0,0,0.0,4,17,.500,.530,.500,.530,.500,.572,.441,.482,0,90.6,76.2,35
Shay Whitcomb,34,181,18.8,6,5,5,1,0,1,0,0,0,0.0,1,16.7,0,16,.200,.403,.333,.503,.400,.867,.324,.557,1,89.8,95.0,22
Ryan Bliss,34,259,13.1,7,5,4,1,1,0,0,0,1,14.3,1,14.3,4,19,.200,.314,.429,.510,.200,.380,.327,.416,0,90.4,92.9,-4
Alan Trejo,33,221,14.9,10,10,9,3,3,0,0,0,1,10.0,0,0.0,2,22,.300,.237,.300,.237,.300,.269,.265,.220,0,90.3,88.1,8
Seby Zavala,33,171,19.3,6,6,4,0,0,0,0,0,2,33.3,0,0.0,8,18,.000,.249,.000,.249,.000,.457,.000,.303,0,89.8,93.6,13
Nick Yorke,32,174,18.4,9,8,8,4,4,0,0,0,1,11.1,0,0.0,4,16,.500,.376,.444,.371,.500,.427,.392,.379,0,89.6,86.8,9
Luken Baker,32,201,15.9,10,8,9,1,0,0,0,1,0,0.0,1,10.0,1,13,.125,.301,.200,.387,.500,.618,.274,.422,1,89.2,96.0,15
Armando Alvarez,31,139,22.3,7,6,5,1,0,1,0,0,1,14.3,1,14.3,1,14,.167,.275,.286,.378,.333,.304,.278,.317,0,89.9,69.0,9
Steward Berroa,31,183,16.9,7,3,2,0,0,0,0,0,1,14.3,4,57.1,3,11,.000,.008,.571,.575,.000,.012,.394,.397,0,90.2,84.9,48
Zach Remillard,30,151,19.9,8,7,7,3,3,0,0,0,0,0.0,1,12.5,1,12,.429,.452,.500,.530,.429,.507,.417,.455,0,89.0,87.4,17
Coby Mayo,29,188,15.4,5,5,2,2,2,0,0,0,3,60.0,0,0.0,4,12,.400,.318,.400,.318,.400,.359,.353,.297,0,88.8,89.4,12
Eli White,29,160,18.1,9,8,6,3,1,1,1,0,2,22.2,0,0.0,4,17,.375,.168,.444,.261,.750,.389,.494,.286,1,89.2,90.4,21
Bligh Madris,29,275,10.5,10,10,7,3,2,1,0,0,3,30.0,0,0.0,2,15,.300,.232,.300,.232,.400,.415,.302,.274,2,89.4,86.0,44
Jahmai Jones,28,152,18.4,11,9,7,4,3,1,0,0,2,18.2,1,9.1,1,13,.444,.280,.545,.411,.556,.361,.483,.351,0,89.1,88.0,5
Jonathan Ornelas,27,163,16.6,5,5,3,2,2,0,0,0,2,40.0,0,0.0,2,11,.400,.275,.400,.275,.400,.332,.353,.267,0,90.5,92.0,21
Trenton Brooks,27,110,24.5,6,5,4,1,1,0,0,0,1,16.7,1,16.7,2,10,.200,.190,.333,.325,.200,.250,.262,.274,0,89.5,86.6,3
Billy McKinney,27,114,23.7,7,7,4,3,2,1,0,0,3,42.9,0,0.0,2,10,.429,.278,.429,.278,.571,.456,.431,.311,1,90.1,92.9,6
David Bote,26,162,16.0,7,6,6,3,3,0,0,0,0,0.0,1,14.3,5,14,.500,.435,.571,.516,.500,.745,.476,.526,1,88.9,98.2,4
Yuli Gurriel,26,281,9.3,8,4,4,1,1,0,0,0,0,0.0,4,50.0,2,8,.250,.473,.625,.737,.250,.554,.455,.572,0,90.0,87.7,-16
