player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
David Hensley,54,250,21.6,15,15,12,3,2,1,0,0,3,20.0,0,0.0,1,16,.200,.189,.200,.189,.267,.230,.201,.183,0,93.3,86.4,-20
Adrian Del Castillo,54,336,16.1,19,17,14,6,5,1,0,0,3,15.8,2,10.5,4,28,.353,.276,.421,.353,.412,.375,.371,.324,1,93.0,90.6,16
Ryan Kreidler,53,263,20.2,15,12,7,1,1,0,0,0,5,33.3,3,20.0,8,26,.083,.196,.267,.357,.083,.281,.197,.302,1,92.8,90.7,12
Nathan Lukes,53,356,14.9,10,10,8,2,1,1,0,0,2,20.0,0,0.0,4,26,.200,.188,.200,.188,.300,.208,.214,.175,0,93.8,89.8,-13
Kyle Manzardo,49,636,7.7,18,17,14,7,3,3,0,1,3,16.7,1,5.6,2,22,.412,.317,.444,.355,.765,.635,.508,.417,2,93.4,87.3,9
Alek Thomas,49,372,13.2,17,17,15,3,1,0,0,2,2,11.8,0,0.0,4,26,.176,.284,.176,.284,.529,.626,.293,.379,3,93.5,95.0,-2
Brian Serven,48,258,18.6,13,11,9,2,1,1,0,0,2,15.4,2,15.4,3,24,.182,.198,.308,.322,.273,.303,.270,.289,0,93.0,88.7,18
Yan Gomes,48,375,12.8,13,12,10,2,2,0,0,0,2,15.4,1,7.7,2,25,.167,.296,.231,.350,.167,.422,.189,.336,1,94.0,79.6,5
Austin Shenton,48,212,22.6,7,5,4,1,1,0,0,0,1,14.3,2,28.6,5,18,.200,.511,.429,.651,.200,.608,.323,.543,0,93.3,85.2,15
Yuli Gurriel,47,281,16.7,14,13,12,4,4,0,0,0,1,7.1,1,7.1,0,22,.308,.311,.357,.360,.308,.396,.301,.335,0,94.4,89.1,2
Jacob Amaya,46,301,15.3,12,12,7,2,1,1,0,0,5,41.7,0,0.0,2,12,.167,.270,.167,.270,.250,.307,.178,.252,0,93.2,82.6,2
Tucker Barnhart,46,375,12.3,11,8,2,1,1,0,0,0,6,54.5,3,27.3,3,11,.125,.096,.364,.343,.125,.104,.268,.252,0,93.3,72.7,-24
Bobby Dalbec,46,413,11.1,9,8,4,2,2,0,0,0,4,44.4,0,0.0,7,20,.250,.234,.333,.319,.250,.251,.276,.269,0,93.4,73.2,-14
Braden Shewmake,45,214,21.0,14,14,13,1,1,0,0,0,1,7.1,0,0.0,6,31,.071,.192,.071,.192,.071,.214,.063,.178,0,93.0,83.1,1
Ryan Bliss,45,259,17.4,10,10,8,2,2,0,0,0,2,20.0,0,0.0,9,25,.200,.353,.200,.353,.200,.444,.176,.344,0,94.2,91.2,-8
Trey Cabbage,45,336,13.4,17,17,13,6,2,4,0,0,4,23.5,0,0.0,2,20,.353,.358,.353,.358,.588,.677,.399,.434,4,93.6,94.2,15
Alan Trejo,44,221,19.9,19,17,15,5,5,0,0,0,2,10.5,1,5.3,2,21,.294,.179,.368,.265,.294,.218,.306,.228,0,93.6,83.2,-2
Zach Dezenzo,43,245,17.6,13,13,13,5,5,0,0,0,0,0.0,0,0.0,2,24,.385,.350,.385,.350,.385,.403,.339,.326,0,91.9,80.7,2
Esteury Ruiz,43,246,17.5,8,6,3,0,0,0,0,0,3,37.5,1,12.5,7,18,.000,.124,.250,.343,.000,.176,.176,.273,0,92.8,84.6,34
Drew Millas,42,252,16.7,15,12,10,6,5,0,0,1,2,13.3,3,20.0,2,19,.500,.322,.600,.458,.750,.475,.568,.414,1,93.0,88.6,-5
Jace Jung,42,386,10.9,15,14,10,4,3,1,0,0,4,26.7,1,6.7,5,21,.286,.263,.333,.312,.357,.349,.306,.293,1,92.0,84.1,10
Eguy Rosario,41,226,18.1,10,8,7,3,1,1,0,1,1,10.0,1,10.0,6,17,.375,.272,.500,.418,.875,.640,.560,.445,1,93.5,87.2,25
Eli White,41,160,25.6,14,12,10,5,2,1,1,1,2,14.3,0,0.0,2,18,.417,.271,.500,.375,.917,.595,.578,.412,2,93.8,89.4,0
Cole Tucker,40,237,16.9,9,8,7,0,0,0,0,0,1,11.1,1,11.1,3,15,.000,.231,.111,.317,.000,.316,.077,.285,0,93.6,90.7,-10
Kyren Paris,40,234,17.1,10,10,9,1,1,0,0,0,1,10.0,0,0.0,3,18,.100,.204,.100,.204,.100,.255,.088,.195,0,92.9,83.9,0
Luke Williams,39,172,22.7,13,11,10,4,3,1,0,0,1,7.7,2,15.4,1,19,.364,.209,.462,.331,.455,.261,.406,.278,0,94.3,86.8,-1
Akil Baddoo,39,318,12.3,10,8,7,1,1,0,0,0,1,10.0,2,20.0,2,21,.125,.328,.300,.463,.125,.596,.226,.452,1,93.0,92.6,20
Nick Sogard,39,348,11.2,8,8,8,2,2,0,0,0,0,0.0,0,0.0,4,22,.250,.282,.250,.282,.250,.399,.220,.292,0,92.7,89.3,11
Steward Berroa,38,183,20.8,7,6,5,1,1,0,0,0,1,14.3,1,14.3,2,14,.167,.196,.286,.310,.167,.235,.224,.260,0,93.7,86.1,14
Omar Narváez,38,269,14.1,10,10,8,2,2,0,0,0,2,20.0,0,0.0,2,18,.200,.234,.200,.234,.200,.324,.176,.241,0,91.9,89.4,24
René Pinto,36,185,19.5,14,12,8,5,3,1,0,1,4,28.6,1,7.1,6,18,.417,.414,.500,.498,.750,.956,.526,.591,2,92.2,98.6,21
Nick Yorke,36,174,20.7,9,9,7,2,1,0,0,1,2,22.2,0,0.0,4,15,.222,.274,.222,.274,.556,.473,.326,.318,1,92.7,94.5,-1
Griffin Conine,35,334,10.5,8,8,5,4,4,0,0,0,3,37.5,0,0.0,4,17,.500,.233,.500,.233,.500,.256,.441,.215,0,93.4,88.1,-7
